Title,Date,Creator and role,Department,Medium text statement,IRN,Image Filename,colour0,colour1,colour2,colour3,colour4,CSS_colour0,CSS_colour1,CSS_colour2,CSS_colour3,CSS_colour4
Pmurlpa (quondong) (from 'Bush tucker' series),2009,"HERMANNSBURG POTTERS,  - Pottery workshop; RUBUNTJA, Rona - Potter",Indigenous Australian Art,"Earthenware, hand-built terracotta clay with underglaze colours and applied decoration",11940,2010.250.008a-b_001.jpg,#e5e8e4,#5e5538,#fcfdfd,#aaa389,#aa5740,gainsboro,darkolivegreen,white,rosybrown,sienna
Basket,2010,"MYE, Charlotte - ",Indigenous Australian Art,Check-woven polypropylene tape,474,2010.607_001.jpg,#b1aeb0,#0e3f5f,#7d333e,#2d6b90,#909128,darkgray,darkslategray,brown,steelblue,olivedrab
Club (Southern Queensland/Northern New South Wales),mid 1800s,"UNKNOWN,  - ",Indigenous Australian Art,Carved hardwood,19009,2012.376.001-005_001.jpg,#dfdede,#3c2d2c,#f9f9f9,#b4b1b1,#695654,gainsboro,darkslategray,ghostwhite,darkgray,dimgray
"Drawing for ""Cain and the Promised Land""",1982,"DAWS, Lawrence - ",Contemporary Australian Art,Ink and charcoal,19349,2013.021_001.jpg,#d5c6b3,#443c37,#74695e,#1d1c1b,#a29586,silver,darkslategray,dimgray,black,rosybrown
Soldiers who don't know themselves,2013,"GANBOLD, Gerelkhuu - ",Contemporary Asian Art,Synthetic polymer paint,21362,2015.009a-c_004_composite.jpg,#eaa38a,#622f2a,#ca7b65,#f5d5c3,#9c574b,darksalmon,saddlebrown,indianred,peachpuff,sienna
Kerkar meb 1,2011,"PASSI, Segar - ",Indigenous Australian Art,Synthetic polymer paint,14159,2011.049.003_001.jpg,#3f492d,#6d781d,#4f5b2e,#343c29,#eac704,darkslategray,olivedrab,darkolivegreen,darkslategray,gold
Lidlid,2011,"PASSI, Segar - ",Indigenous Australian Art,Synthetic polymer paint,14160,2011.049.005_001.jpg,#154054,#029dd5,#eb8c08,#46281e,#a14122,darkslategray,darkturquoise,darkorange,darkslategray,sienna
Ap gegur,2011,"PASSI, Segar - ",Indigenous Australian Art,Synthetic polymer paint,14161,2011.049.006_001.jpg,#c6d2df,#3497bc,#606a77,#788694,#8bb1c9,lightgray,steelblue,dimgray,lightslategray,darkgray
Study for 'Kerkar meb 1',2010,"PASSI, Segar - ",Indigenous Australian Art,Synthetic polymer paint,17994,2011.352.003_001.jpg,#4c4a28,#e4dfd5,#76700c,#b6a109,#5e5a20,darkolivegreen,gainsboro,olive,darkgoldenrod,darkolivegreen
Club (Brisbane Valley),pre 1900,"UNKNOWN,  - ",Indigenous Australian Art,Carved and incised hardwood,18536,2012.402_001_top.jpg,#716b6c,#eeeeee,#483f3e,#a8a8a8,#2d2526,dimgray,whitesmoke,darkslategray,darkgray,darkslategray
Untitled [no. 53] (from ‘Utopia Suite’ portfolio),1990,"MPETYANE, Lyndsay Bird - ",Indigenous Australian Art,Woodcut,36938,2021.202_001.jpg,,,,,,,,,,
Dead Bee Portrait #14,"2016, printed 2018","NOBLE, Anne - ",Pacific Art,Pigment,31825,2019.125_001.jpg,#1c1c1f,#858182,#050101,#c3c0c1,#524e4f,black,gray,black,silver,darkslategray
Thought,1988,"CARCHESIO, Eugene - ",Contemporary Australian Art,Watercolour,12245,1988.105_001.jpg,#f8f4ea,#efe1ae,#8bc3d1,#afd5dd,#e7868b,linen,palegoldenrod,skyblue,lightblue,lightcoral
Coolamon,2001,"KARADADA, Lily Mindindil - ",Indigenous Australian Art,"Eucalyptus bark, natural pigments with bush resin fixative",9963,2008.171_001.jpg,#dddcdd,#986c40,#443027,#b89a80,#cec6c2,gainsboro,sienna,darkslategray,rosybrown,silver
Golden Summer,1987/2016,"YANG, William - ",Contemporary Australian Art,"Inkjet print, gold leaf",34338,5 Golden summer.jpg,#684e2c,#b79e6b,#241f18,#9a7a45,#d3c7af,darkolivegreen,darkkhaki,black,sienna,silver
Wandjina with bushtucker,2006,"KARADADA, Lily Mindindil - ",Indigenous Australian Art,Etching,6529,2007.201_001.jpg,#cac2b5,#7f786b,#a59d90,#ebe7df,#574f43,silver,gray,rosybrown,antiquewhite,darkolivegreen
"detail
A Person Looks At A Work Of Art/ 
someone looks at something...
LOGOS/HA HA 
] In memory of Peter Beiers (",2018,"TYNDALL, Peter - ",Contemporary Australian Art,"A Person Looks At A Work Of Art/ 
someone looks at something...
CULTURAL CONSUMPTION PRODUCTION 
Marker on paper with artist stamp, handwritten label on screenprint on paper",32351,2020.101a-b_001.jpg,#f0ebe3,#4e433d,#f8e229,#faf7f2,#a58982,linen,darkslategray,gold,whitesmoke,rosybrown
Coffee table,c.1964,"DAWSON, Janet - ",Australian Art,Laminex plastic sheet on composition board; metal legs,10881,2010.427_001.jpg,#9d999a,#1f2021,#f69099,#bebaba,#837f7d,darkgray,black,lightcoral,silver,gray
Frail form,1975,"AMOS, Irene - ",Australian Art,Watercolour and pencil,14010,1-1370_001.jpg,#e3d098,#0c838d,#a4a265,#7ab5b6,#e7ddca,khaki,darkcyan,darkkhaki,mediumaquamarine,gainsboro
The silver pheasant,1936,"LINDSAY, Lionel - ",Australian Art,Wood engraving,5510,2-0672_001.jpg,#1e1b1b,#cdc2b9,#666260,#403c3b,#938d8a,black,silver,dimgray,darkslategray,gray
"Kupaarta lngkwia-errama (bush plums, over-ripe, inedible) (from 'Bush tucker' series)",2009,"HERMANNSBURG POTTERS,  - Pottery workshop; RUBUNTJA, Rona - Potter",Indigenous Australian Art,"Earthenware, hand-built terracotta clay with underglaze colours and applied decoration",11943,2010.250.011a-b_001.jpg,#fcfdfd,#aaa098,#dde0dd,#926042,#515436,white,darkgray,gainsboro,sienna,darkolivegreen
The Buddha fan,1905,"CONDER, Charles - ",Australian Art,Watercolour and gouache,10611,1-0629_002.jpg,#a28465,#ede3da,#83644d,#c4a98a,#5f4a3d,gray,antiquewhite,dimgray,tan,darkolivegreen
Langkwa (bush banana) (from 'Bush tucker' series),2009,"HERMANNSBURG POTTERS,  - Pottery workshop; RUBUNTJA, Rona - Potter",Indigenous Australian Art,"Earthenware, hand-built terracotta clay with underglaze colours and applied decoration",11942,2010.250.010a-b_001.jpg,#525a3f,#fbfcfc,#935b3f,#9e9c89,#d0d3cd,darkolivegreen,snow,sienna,rosybrown,lightgray
Leaving the meat and chewing the bone leads one to ruin (from 'Sharing knowledge' series),2008,"SVAY Ken,  - ",Contemporary Asian Art,Oil,11920,2009.140_001.jpg,#8d5d3c,#34343d,#22242d,#a9a8a4,#2f577c,sienna,darkslategray,darkslategray,darkgray,darkslateblue
Wyarra spirit,2005,"YARINKURA, Lena - ",Indigenous Australian Art,"Wooden sticks, paperbark, bark fibre, natural pigments",2694,2006.096_001.jpg,#d5d4d4,#7b6349,#a4978e,#49372b,#e2e2e2,lightgray,dimgray,rosybrown,darkslategray,gainsboro
The elements,1989,"PAIK, Nam June - ",Contemporary Asian Art,"Lacquer cabinet, six 4:3 LCD screens, computer-generated moving image and audio on DVD, roots, three silk flowers and three cathode ray tubes",8959,1999.102a-o_001.jpg,#b22a38,#ecedea,#9b6747,#b7a999,#533733,brown,linen,sienna,darkgray,darkslategray
18/28: The Singhaseni Tapestries,2017-18,"SIRIBUTR, Jakkai - ",Contemporary Asian Art,"Cotton, silk, synthetic fabric, embroidery, found fabrics, disassembled garments, luggage trunks, sound",31468,GOMA_APT9_installationview_20181207_nharth_014.jpg,#cecdca,#8d3e15,#5e5956,#331711,#96999c,lightgray,saddlebrown,dimgray,black,darkgray
Night Life,2018,"TURRELL, James - ",Contemporary International Art,Architectural light installation,31731,GOMA_Exterior_Turrell_20180711_nharth_081.jpg,#1704bb,#656c9f,#15092f,#9799c5,#6559f9,mediumblue,slategray,black,darkgray,mediumslateblue
Taltjakurla (mulga apple) (from 'Bush tucker' series),2009,"HERMANNSBURG POTTERS,  - Pottery workshop; RUBUNTJA, Rona - Potter",Indigenous Australian Art,"Earthenware, hand-built terracotta clay with underglaze colours and applied decoration",11939,2010.250.007a-b_001.jpg,#4c5834,#e5e9e9,#afa786,#fcfdfe,#8f6342,darkolivegreen,lavender,rosybrown,white,sienna
